Genus,nitrification,anammox,denitrification,nitrogen_fixation,nitrate_reduction,S_reduction,S_oxidation,anoxygenic_photo_S_oxidation,dual_N_S_cycling
Candidatus_Jettenia,0,1,0,0,0,0,0,0,0
Candidatus_Kuenenia,0,1,0,0,0,0,0,0,0
Candidatus_Methanoperedens,0,0,0,0,1,0,0,0,0
Candidatus_Methylacidiphilum,0,0,0,1,0,0,0,0,0
Candidatus_Methylomirabilis,0,0,1,0,0,0,0,0,0
Candidatus_Nitrosocaldus,1,0,0,0,0,0,0,0,0
Candidatus_Nitrosopelagicus,1,0,0,0,0,0,0,0,0
Candidatus_Nitrosopumilus,1,0,0,0,0,0,0,0,0
Candidatus_Nitrososphaera,1,0,0,0,0,0,0,0,0
Candidatus_Nitrosotalea,1,0,0,0,0,0,0,0,0
Candidatus_Nitrosotenuis,1,0,0,0,0,0,0,0,0
Candidatus_Nitrotoga,1,0,0,0,0,0,0,0,0
Candidatus_Thiobios,0,0,0,0,0,0,1,0,0
Candidatus_Thioglobus,0,0,0,0,0,0,1,0,0
Carboxydothermus,0,0,0,0,1,1,1,0,1
Catenococcus,0,0,0,0,0,0,1,0,0
Catenulispora,0,0,0,0,0,0,0,0,0
Catenuloplanes,0,0,0,0,0,0,0,0,0
Cedecea,0,0,0,0,0,0,0,0,0
Celeribacter,0,0,0,0,1,0,0,0,0
Cellulomonas,0,0,0,0,0,0,0,0,0
Cellulophaga,0,0,0,0,0,0,0,0,0
Cellulosimicrobium,0,0,0,0,0,0,0,0,0
Cellvibrio,0,0,0,1,0,0,0,0,0
Cenarchaeum,1,0,0,0,0,0,0,0,0
Centipeda,0,0,0,0,0,0,0,0,0
Cetobacterium,0,0,0,0,0,0,0,0,0
Chitinophaga,0,0,0,0,0,0,0,0,0
Chlorobaculum,0,0,0,0,0,0,1,1,0
Chlorobium,0,0,0,1,0,0,0,1,0
Chloroflexus,0,0,0,0,0,0,0,1,0
Chloroherpeton,0,0,0,0,0,0,0,1,0
Chromatium,0,0,0,0,0,0,0,1,0
Chromobacterium,0,0,0,0,0,0,0,0,0
Chromohalobacter,0,0,0,0,0,0,0,0,0
Chryseobacterium,0,0,0,0,0,0,0,0,0
Chrysiogenes,0,0,0,0,1,0,0,0,0
Citreicella,0,0,0,0,0,0,1,0,0
Citreimonas,0,0,0,0,0,0,0,0,0
Citricoccus,0,0,0,0,0,0,0,0,0
Citrobacter,0,0,0,0,1,0,0,0,0
Clostridium,0,0,0,1,1,1,0,0,1
Cohnella,0,0,0,1,0,0,0,0,0
Colwellia,0,0,0,0,0,0,0,0,0
Comamonas,0,0,1,0,1,0,0,0,0
Conexibacter,0,0,0,0,0,0,0,0,0
Coprothermobacter,0,0,0,0,0,1,0,0,0
Coraliomargarita,0,0,0,0,0,0,0,0,0
Corynebacterium,0,0,0,0,0,0,0,0,0
Costertonia,0,0,1,0,1,0,0,0,0
Couchioplanes,0,0,0,0,0,0,0,0,0
Craurococcus-Caldovatus,0,0,0,0,0,0,0,0,0
Croceibacter,0,0,0,0,0,0,0,0,0
Crocosphaera,0,0,0,1,0,0,0,0,0
Crossiella,0,0,0,0,0,0,0,0,0
Cryobacterium,0,0,0,0,0,0,0,0,0
Cryomorpha,0,0,0,0,0,0,0,0,0
Cryptosporangium,0,0,0,0,0,0,0,0,0
Cupriavidus,0,0,0,0,0,0,0,0,0
Dactylosporangium,0,0,0,0,0,0,0,0,0
Dechloromonas,0,0,1,0,1,1,1,0,1
Dechlorosoma,0,0,1,0,1,0,0,0,0
Deferribacter,0,0,0,0,1,1,0,0,1
Deferrisoma,0,0,0,0,0,1,0,0,0
Defluviitoga,0,0,0,0,0,1,0,0,0
Deinococcus,0,0,0,0,0,0,0,0,0
Demequina,0,0,0,0,0,0,0,0,0
Denitratisoma,0,0,1,0,1,0,0,0,0
Denitrobacterium,0,0,0,0,1,0,0,0,0
Denitrovibrio,0,0,0,0,1,0,0,0,0
Dermacoccus,0,0,0,0,0,0,0,0,0
Dermatophilus,0,0,0,0,0,0,0,0,0
Derxia,0,0,0,1,0,0,0,0,0
Desertibacter,0,0,0,0,0,0,0,0,0
Desulfacinum,0,0,0,0,0,1,0,0,0
Desulfarculus,0,0,0,0,0,1,0,0,0
Desulfatitalea,0,0,0,0,0,1,0,0,0
Desulfitispora,0,0,0,0,0,1,0,0,0
Desulfitobacterium,0,0,0,1,1,1,0,0,1
Desulfobacca,0,0,0,0,0,1,0,0,0
Desulfobacter,0,0,0,0,0,1,0,0,0
Desulfobacterium,0,0,0,0,1,1,0,0,1
Desulfobacula,0,0,0,0,0,1,0,0,0
Desulfobotulus,0,0,0,0,0,1,0,0,0
Desulfobulbus,0,0,0,0,1,1,0,0,1
Desulfocapsa,0,0,0,0,0,1,0,0,0
Desulfococcus,0,0,1,0,1,1,0,0,1
Desulfoconvexum,0,0,0,0,0,1,0,0,0
Desulfocurvus,0,0,0,0,0,1,0,0,0
Desulfofaba,0,0,0,0,0,1,0,0,0
Desulfofrigus,0,0,0,0,0,1,0,0,0
Desulfofustis,0,0,0,0,0,1,0,0,0
Desulfomicrobium,0,0,0,0,0,1,0,0,0
Desulfomonile,0,0,0,1,0,1,0,0,1
Desulfonatronovibrio,0,0,0,0,0,1,0,0,0
Desulfonatronum,0,0,0,0,0,1,0,0,0
Desulfonauticus,0,0,0,0,0,1,0,0,0
Desulfopila,0,0,0,0,0,1,0,0,0
Desulforhabdus,0,0,0,0,0,1,0,0,0
Desulforhopalus,0,0,0,0,1,1,0,0,1
Desulfosalsimonas,0,0,0,0,0,1,0,0,0
Desulfosarcina,0,0,1,0,1,1,0,0,1
Desulfosporosinus,0,0,0,0,1,1,0,0,1
Desulfotalea,0,0,0,0,0,1,0,0,0
Desulfotignum,0,0,0,0,0,1,0,0,0
Desulfotomaculum,0,0,0,0,1,1,0,0,1
Desulfovibrio,0,0,0,0,1,1,0,0,1
Desulfovirga,0,0,0,0,0,1,0,0,0
Desulfurella,0,0,0,0,0,1,0,0,0
Desulfuribacillus,0,0,0,0,0,1,0,0,0
Desulfurispira,0,0,0,0,0,1,0,0,0
Desulfurispirillum,0,0,0,0,1,1,0,0,1
Desulfurobacterium,0,0,0,0,1,1,0,0,1
Desulfurococcus,0,0,0,0,0,1,0,0,0
Desulfuromonas,0,0,0,0,0,1,0,0,0
Desulfuromusa,0,0,0,0,1,1,0,0,1
Dethiosulfatarculus,0,0,0,0,0,1,0,0,0
Dethiosulfovibrio,0,0,0,0,0,1,0,0,0
Devosia,0,0,0,0,0,0,0,0,0
Diaphorobacter,0,0,0,0,1,0,0,0,0
Dietzia,0,0,0,0,0,0,0,0,0
Dinoroseobacter,0,0,1,0,1,0,0,0,0
Diplosphaera,0,0,0,1,0,0,0,0,0
Duganella,0,0,0,0,0,0,0,0,0
Dyadobacter,0,0,0,0,0,0,0,0,0
Dyella,0,0,0,0,0,0,1,0,0
Ectothiorhodospira,0,0,0,0,0,0,0,1,0
Edwardsiella,0,0,0,0,0,0,0,0,0
Eikenella,0,0,0,0,0,0,0,0,0
Elioraea,0,0,0,0,0,0,1,0,0
Elizabethkingia,0,0,0,0,0,0,0,0,0
Emticicia,0,0,0,0,0,0,0,0,0
Enhydrobacter,0,0,0,0,0,0,0,0,0
Ensifer,0,0,0,1,0,0,0,0,0
Enteractinococcus,0,0,0,0,0,0,0,0,0
Enterobacter,0,0,0,1,1,0,0,0,0
Escherichia-Shigella,0,0,0,0,1,0,0,0,0
Euzebya,0,0,0,0,0,0,0,0,0
Exiguobacterium,0,0,0,0,0,0,0,0,0
Ferribacterium,0,0,0,0,1,0,0,0,0
Ferrimonas,0,0,1,0,1,1,0,0,1
Ferroglobus,0,0,0,0,1,1,1,0,1
Ferrovibrio,0,0,0,0,1,0,0,0,0
Ferruginibacter,0,0,0,0,0,0,0,0,0
Filibacter,0,0,0,0,0,0,0,0,0
Filomicrobium,0,0,0,0,0,0,0,0,0
Flammeovirga,0,0,0,0,0,0,0,0,0
Flavivirga,0,0,0,0,0,0,0,0,0
Flavobacterium,0,0,1,0,1,0,0,0,0
Flectobacillus,0,0,0,0,0,0,0,0,0
Flexibacter,0,0,0,0,0,0,0,0,0
Formosa,0,0,0,0,0,0,0,0,0
Friedmanniella,0,0,0,0,0,0,0,0,0
Fusibacter,0,0,0,0,0,1,0,0,0
Fusobacterium,0,0,0,0,0,0,0,0,0
Gaetbulibacter,0,0,0,0,0,0,0,0,0
Gaiella,0,0,0,0,0,0,0,0,0
Garciella,0,0,0,0,1,1,0,0,1
Gemmobacter,0,0,0,0,1,0,0,0,0
Geoalkalibacter,0,0,0,0,1,1,0,0,1
Geobacillus,0,0,1,0,1,0,0,0,0
Geobacter,0,0,0,0,1,1,0,0,1
Geodermatophilus,0,0,0,0,0,0,0,0,0
Geopsychrobacter,0,0,0,0,0,1,0,0,0
Georgenia,0,0,0,0,0,0,0,0,0
Georgfuchsia,0,0,1,0,1,0,0,0,0
Geothermobacter,0,0,0,0,1,0,0,0,0
Geothrix,0,0,0,0,1,0,0,0,0
Geovibrio,0,0,0,0,1,0,0,0,0
Gillisia,0,0,0,0,1,0,0,0,0
Gilvibacter,0,0,0,0,0,0,0,0,0
Gluconacetobacter,0,0,0,1,0,0,0,0,0
Goodfellowiella,0,0,0,0,0,0,0,0,0
Gordonia,0,0,0,0,0,0,0,0,0
Gracilibacillus,0,0,0,0,1,0,0,0,0
Haemophilus,0,0,0,0,0,0,0,0,0
Hafnia-Obesumbacterium,0,0,0,0,0,0,0,0,0
Hahella,0,0,0,0,0,0,0,0,0
Halanaerobium,0,0,0,0,0,1,0,0,0
Halarsenatibacter,0,0,0,0,0,1,0,0,0
Haloarcula,0,0,0,0,1,0,0,0,0
Halobacterium,0,0,0,0,1,0,0,0,0
Halobaculum,0,0,0,0,0,0,0,0,0
Halochromatium,0,0,0,0,0,0,0,1,0
Halococcus,0,0,0,0,0,0,0,0,0
Haloferax,0,0,0,0,0,0,0,0,0
Halogeometricum,0,0,0,0,1,0,0,0,0
Halomicroarcula,0,0,0,0,0,0,0,0,0
Halorhodospira,0,0,0,0,0,0,0,1,0
Halorubrum,0,0,0,0,0,0,0,0,0
Haloterrigena,0,0,0,0,0,0,0,0,0
Halothermothrix,0,0,1,0,1,0,1,0,0
Halothiobacillus,0,0,0,0,1,0,1,0,0
Hamadaea,0,0,0,0,0,0,0,0,0
Helicobacter,0,0,0,0,0,0,0,0,0
Heliobacterium,0,0,0,1,0,0,0,0,0
Heliorestis,0,0,0,1,0,0,0,0,0
Herbaspirillum,0,0,0,1,1,0,0,0,0
Herminiimonas,0,0,1,0,1,0,0,0,0
Hoyosella,0,0,0,0,0,0,0,0,0
Humibacter,0,0,0,0,0,0,0,0,0
Humitalea,0,0,0,0,0,0,0,0,0
Hwanghaeicola,0,0,0,0,0,0,0,0,0
Hydrogenobacter,0,0,0,0,0,0,1,0,0
Hydrogenophaga,0,0,1,0,1,0,1,0,0
Hydrogenophilus,0,0,0,0,1,1,0,0,1
Hydrogenovibrio,0,0,0,0,0,0,1,0,0
Hymenobacter,0,0,0,0,0,0,0,0,0
Hyphomicrobium,0,0,0,0,0,0,0,0,0
Hyphomonas,0,0,1,0,1,0,0,0,0
Iamia,0,0,1,0,1,0,0,0,0
Ideonella,0,0,0,0,1,0,0,0,0
Ignatzschineria,0,0,0,0,0,0,0,0,0
Ignicoccus,0,0,0,0,0,1,0,0,0
Intrasporangium,0,0,0,0,1,0,0,0,0
Iodobacter,0,0,0,0,0,0,0,0,0
Isoptericola,0,0,0,0,0,0,0,0,0
Janibacter,0,0,0,0,0,0,0,0,0
Janthinobacterium,0,0,0,0,0,0,0,0,0
Jeotgalibacillus,0,0,0,0,0,0,0,0,0
Jiangella,0,0,0,0,0,0,0,0,0
Jonesia,0,0,0,0,0,0,0,0,0
Kibdelosporangium,0,0,0,0,0,0,0,0,0
Kineococcus,0,0,0,0,0,0,0,0,0
Kineosporia,0,0,0,0,0,0,0,0,0
Kitasatospora,0,0,0,0,0,0,0,0,0
Klebsiella,0,0,0,0,1,0,1,0,0
Kluyvera,0,0,0,0,0,0,0,0,0
Knoellia,0,0,0,0,0,0,0,0,0
Kocuria,0,0,0,0,0,0,0,0,0
Kordia,0,0,0,0,0,0,0,0,0
Kribbia,0,0,0,0,0,0,0,0,0
Kutzneria,0,0,0,0,0,0,0,0,0
Kyrpidia,0,0,0,0,0,0,0,0,0
Lactobacillus,0,0,0,0,1,0,0,0,0
Lamprocystis,0,0,0,1,0,0,0,1,0
Lebetimonas,0,0,0,0,0,1,0,0,0
Lechevalieria,0,0,0,0,0,0,0,0,0
Leifsonia,0,0,0,0,0,0,0,0,0
Leminorella,0,0,0,0,0,0,0,0,0
Lentibacillus,0,0,0,0,0,0,0,0,0
Lentibacter,0,0,0,0,0,0,0,0,0
Leptospirillum,0,0,0,1,0,0,0,0,0
Leucobacter,0,0,0,0,0,0,0,0,0
Lewinella,0,0,0,0,0,0,0,0,0
Limnobacter,0,0,0,0,0,0,1,0,0
Loktanella,0,0,0,0,0,0,0,0,0
Longispora,0,0,0,0,0,0,0,0,0
Luteococcus,0,0,0,0,0,0,0,0,0
Lutibaculum,0,0,0,0,0,0,0,0,0
Lysobacter,0,0,0,0,0,0,0,0,0
Macromonas,0,0,0,0,0,0,0,0,0
Magnetococcus,0,0,0,1,0,0,0,0,0
Magnetospira,0,0,0,1,0,0,1,0,0
Magnetospirillum,0,0,1,1,1,0,0,0,0
Magnetovibrio,0,0,0,0,0,0,1,0,0
Mangrovibacterium,0,0,0,1,0,0,0,0,0
Mannheimia,0,0,0,0,0,0,0,0,0
Maribacter,0,0,0,0,0,0,0,0,0
Marichromatium,0,0,0,1,0,0,0,1,0
Marihabitans,0,0,0,0,0,0,0,0,0
Marinitoga,0,0,0,0,0,1,0,0,0
Marinobacter,0,0,1,0,1,0,0,0,0
Marinobacterium,0,0,0,1,0,0,0,0,0
Marinococcus,0,0,0,0,0,0,0,0,0
Marinomonas,0,0,0,0,0,0,0,0,0
Marinospirillum,0,0,0,0,0,0,0,0,0
Marivita,0,0,0,0,0,0,0,0,0
Massilia,0,0,0,0,0,0,0,0,0
Meiothermus,0,0,0,0,0,0,1,0,0
Melioribacter,0,0,0,0,0,0,0,0,0
Mesorhizobium,0,0,0,1,0,0,0,0,0
Metallosphaera,0,0,0,0,0,0,1,0,0
Methanococcus,0,0,0,1,0,0,0,0,0
Methanosarcina,0,0,0,1,0,1,0,0,1
Methanospirillum,0,0,0,1,0,0,0,0,0
Methanothermobacter,0,0,0,1,0,0,0,0,0
Methanothermococcus,0,0,0,1,0,0,0,0,0
Methylobacillus,0,0,0,0,0,0,0,0,0
Methylobacter,0,0,0,1,0,0,0,0,0
Methylobacterium-Methylorubrum,0,0,0,0,0,0,1,0,0
Methylocapsa,0,0,0,1,0,0,0,0,0
Methylocella,0,0,0,1,0,0,0,0,0
Methylocystis,0,0,0,1,0,0,0,0,0
Methyloglobulus,0,0,0,1,0,0,0,0,0
Methylomonas,0,0,0,1,0,0,0,0,0
Methylophilus,0,0,0,0,0,0,0,0,0
Methylopila,0,0,0,0,0,0,0,0,0
Methylosarcina,0,0,0,0,0,0,0,0,0
Methylovirgula,0,0,0,1,0,0,0,0,0
Methylovorus,0,0,0,0,0,0,0,0,0
Microbacterium,0,0,0,0,1,0,0,0,0
Microbispora,0,0,0,0,0,0,0,0,0
Microcella,0,0,0,0,0,0,0,0,0
Micrococcus,0,0,1,0,1,0,0,0,0
Microlunatus,0,0,0,0,1,0,0,0,0
Micromonospora,0,0,0,0,0,0,0,0,0
Micropruina,0,0,0,0,1,0,0,0,0
Microtetraspora,0,0,0,0,0,0,0,0,0
Microvirgula,0,0,1,0,1,0,0,0,0
Miniimonas,0,0,0,0,0,0,0,0,0
Mitsuaria,0,0,0,0,0,0,0,0,0
Mitsuokella,0,0,0,0,0,0,0,0,0
Mizugakiibacter,0,0,0,0,1,0,0,0,0
Mobilicoccus,0,0,0,0,0,0,0,0,0
Modestobacter,0,0,0,0,0,0,0,0,0
Moellerella,0,0,0,0,0,0,0,0,0
Moorella,0,0,0,1,1,0,0,0,0
Moraxella,0,0,0,0,0,0,0,0,0
Morganella,0,0,0,0,0,0,0,0,0
Moritella,0,0,0,0,0,0,0,0,0
Myceligenerans,0,0,0,0,0,0,0,0,0
Mycetocola,0,0,0,0,0,0,0,0,0
Mycobacterium,0,0,0,0,0,0,0,0,0
Naasia,0,0,0,0,0,0,0,0,0
Natranaerobius,0,0,0,0,1,0,0,0,0
Natrinema,0,0,0,0,0,0,0,0,0
Natronomonas,0,0,0,0,0,0,0,0,0
Natronorubrum,0,0,0,0,0,0,0,0,0
Nautilia,0,0,0,0,1,1,0,0,1
Neisseria,0,0,0,0,0,0,0,0,0
Nesterenkonia,0,0,0,0,0,0,0,0,0
Nisaea,0,0,1,0,1,0,0,0,0
Nitratifractor,0,0,1,0,1,0,0,0,0
Nitratiruptor,0,0,1,0,1,0,1,0,0
Nitrobacter,1,0,0,0,1,0,0,0,0
Nitrococcus,1,0,0,0,0,0,0,0,0
Nitrolancea,1,0,0,0,0,0,0,0,0
Nitrosarchaeum,1,0,0,0,0,0,0,0,0
Nitrosococcus,1,0,0,0,0,0,0,0,0
Nitrosomonas,0,0,0,0,0,0,0,0,0
Nitrospina,1,0,0,0,0,0,0,0,0
Nitrospira,1,0,0,0,0,0,0,0,0
Niveispirillum,0,0,0,1,0,0,0,0,0
Nocardia,0,0,0,0,0,0,0,0,0
Nocardioides,0,0,1,0,1,0,0,0,0
Nocardiopsis,0,0,0,0,0,0,0,0,0
Nonomuraea,0,0,0,0,0,0,0,0,0
Oceanicaulis,0,0,0,0,0,0,0,0,0
Oceanicola,0,0,0,0,0,0,0,0,0
Oceaniovalibus,0,0,0,0,0,0,0,0,0
Oceanisphaera,0,0,0,0,0,0,0,0,0
Oceanithermus,0,0,0,0,1,1,0,0,1
Oceanobacillus,0,0,0,0,0,0,0,0,0
Oerskovia,0,0,0,0,0,0,0,0,0
Oligella,0,0,0,0,0,0,0,0,0
Oligotropha,0,0,0,0,0,0,0,0,0
Opitutus,0,0,0,0,0,0,0,0,0
Orenia,0,0,0,1,0,0,0,0,0
Ornithinimicrobium,0,0,0,0,0,0,0,0,0
Ornithobacterium,0,0,0,0,0,0,0,0,0
Oscillochloris,0,0,0,0,0,0,0,1,0
Ottowia,0,0,0,0,1,0,0,0,0
Paenibacillus,0,0,0,1,1,0,0,0,0
Paludicola,0,0,0,0,0,0,0,0,0
Pandoraea,0,0,0,0,0,0,0,0,0
Pannonibacter,0,0,1,0,1,0,0,0,0
Paracoccus,0,0,1,0,1,0,1,0,0
Paracraurococcus,0,0,0,0,0,0,0,0,0
Pasteurella,0,0,0,0,1,0,0,0,0
Patulibacter,0,0,0,0,0,0,0,0,0
Pectobacterium,0,0,0,0,1,0,0,0,0
Pedococcus-Phycicoccus,0,0,0,0,0,0,0,0,0
Pedomicrobium,0,0,0,0,0,0,0,0,0
Pelagibaca,0,0,0,0,0,0,0,0,0
Pelagicoccus,0,0,0,0,0,0,0,0,0
Pelobacter,0,0,0,0,0,1,0,0,0
Persephonella,0,0,1,0,1,0,0,0,0
Persicobacter,0,0,0,0,0,0,0,0,0
Petrimonas,0,0,0,0,1,0,0,0,0
Phaeobacter,0,0,0,0,1,0,0,0,0
Phaeospirillum,0,0,0,1,0,0,0,0,0
Phocoenobacter,0,0,0,0,0,0,0,0,0
Phytohabitans,0,0,0,0,0,0,0,0,0
Piscicoccus,0,0,0,0,0,0,0,0,0
Planomicrobium,0,0,0,0,0,0,0,0,0
Planomonospora,0,0,0,0,0,0,0,0,0
Pleomorphomonas,0,0,0,1,0,0,0,0,0
Plesiomonas,0,0,0,0,0,0,0,0,0
Polaribacter,0,0,0,0,0,0,0,0,0
Polaromonas,0,0,0,0,0,0,0,0,0
Polymorphospora,0,0,0,0,0,0,0,0,0
Pontibaca,0,0,0,0,0,0,0,0,0
Pontibacillus,0,0,0,0,0,0,0,0,0
Pontibacter,0,0,0,1,0,0,0,0,0
Ponticoccus,0,0,0,0,0,0,0,0,0
Prauserella,0,0,0,0,0,0,0,0,0
Promicromonospora,0,0,0,0,0,0,0,0,0
Propionibacterium,0,0,1,0,1,0,0,0,0
Propioniferax,0,0,0,0,0,0,0,0,0
Prosthecochloris,0,0,0,0,0,0,0,1,0
Prosthecomicrobium,0,0,0,0,0,0,0,0,0
Proteus,0,0,0,0,1,0,0,0,0
Providencia,0,0,0,0,0,0,0,0,0
Pseudaminobacter,0,0,0,0,0,0,1,0,0
Pseudoalteromonas,0,0,0,0,0,0,0,0,0
Pseudomonas,0,1,1,0,1,0,1,0,0
Pseudonocardia,1,0,0,0,0,0,0,0,0
Pseudorhodoferax,0,0,0,0,0,0,0,0,0
Pseudoruegeria,0,0,0,0,0,0,0,0,0
Pseudovibrio,0,0,1,0,1,0,0,0,0
Psychrobacter,0,0,0,0,0,0,0,0,0
Psychromonas,0,0,1,0,1,0,0,0,0
Pyrinomonas,0,0,0,0,0,0,0,0,0
Pyrobaculum,0,0,0,0,1,1,1,0,1
Pyrococcus,0,0,0,0,0,1,0,0,0
Pyrodictium,0,0,0,0,0,1,0,0,0
Ralstonia,0,0,0,0,1,0,0,0,0
Rhabdochromatium,0,0,0,0,0,0,0,1,0
Rhabdothermus,0,0,0,0,1,1,0,0,1
Rheinheimera,0,0,0,0,0,0,0,0,0
Rhizobacter,0,0,0,0,0,0,0,0,0
